Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
423,9.5e-07,362,9.5e-07,423,0.0996
424,9.5e-07,362.5,9.5e-07,424,0.187
425,9.5e-07,363,9.5e-07,425,0.262
426,9.5e-07,363.5,9.5e-07,426,0.248
427,9.5e-07,364,9.5e-07,427,0.188
428,9.5e-07,364.5,9.5e-07,428,0.172
429,9.5e-07,365,9.5e-07,429,0.23
430,9.5e-07,365.5,9.5e-07,430,0.3
431,9.5e-07,366,9.5e-07,431,0.273
432,9.5e-07,366.5,9.5e-07,432,0.177
433,9.5e-07,367,9.5e-07,433,0.113
434,9.5e-07,367.5,9.5e-07,434,0.11
435,9.5e-07,368,9.5e-07,435,0.128
436,9.5e-07,368.5,9.5e-07,436,0.108
437,9.5e-07,369,9.5e-07,437,0.0555
438,9.5e-07,369.5,9.5e-07,438,0.0177
439,9.5e-07,370,9.5e-07,439,0.00828
440,9.5e-07,370.5,9.5e-07,440,0.00491
441,9.5e-07,371,9.84e-07,441,0.00407
442,9.5e-07,371.5,9.5e-07,442,0.00442
443,9.5e-07,372,9.5e-07,443,0.00588
444,9.5e-07,372.5,9.5e-07,444,0.00926
445,9.5e-07,373,9.5e-07,445,0.0112
446,9.5e-07,373.5,9.5e-07,446,0.00856
447,9.5e-07,374,9.5e-07,447,0.00432
448,9.5e-07,374.5,9.5e-07,448,0.00217
449,9.5e-07,375,9.5e-07,449,0.00118
450,9.5e-07,375.5,9.5e-07,450,0.00102
451,9.5e-07,376,9.5e-07,451,0.000998
452,9.5e-07,376.5,9.5e-07,452,0.000918
453,9.5e-07,377,9.5e-07,453,0.00122
454,9.5e-07,377.5,9.5e-07,454,0.00181
455,9.5e-07,378,9.5e-07,455,0.00229
456,9.5e-07,378.5,9.5e-07,456,0.00241
457,9.5e-07,379,9.5e-07,457,0.00197
458,9.5e-07,379.5,9.5e-07,458,0.00116
459,9.5e-07,380,9.5e-07,459,0.000903
460,9.5e-07,380.5,9.5e-07,460,0.000582
461,9.5e-07,381,9.5e-07,461,0.000615
462,9.5e-07,381.5,9.5e-07,462,0.000542
463,9.5e-07,382,9.5e-07,463,0.000732
464,9.5e-07,382.5,1.06e-06,464,0.000979
465,9.5e-07,383,9.5e-07,465,0.000863
466,9.5e-07,383.5,9.5e-07,466,0.000971
467,9.5e-07,384,9.5e-07,467,0.000897
