Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,9.5e-07,300.5,9.5e-07,401,0.0136
301,9.5e-07,301,9.5e-07,402,0.0194
302,9.5e-07,301.5,9.5e-07,403,0.04
303,9.5e-07,302,9.5e-07,404,0.043
304,9.5e-07,302.5,9.5e-07,405,0.019
305,9.5e-07,303,9.5e-07,406,0.00523
306,9.5e-07,303.5,9.5e-07,407,0.00306
307,9.5e-07,304,9.5e-07,408,0.00371
308,9.5e-07,304.5,9.5e-07,409,0.00827
309,9.5e-07,305,9.5e-07,410,0.0314
310,9.5e-07,305.5,9.5e-07,411,0.0762
311,9.5e-07,306,9.5e-07,412,0.0913
312,9.5e-07,306.5,9.5e-07,413,0.0971
313,9.5e-07,307,9.5e-07,414,0.196
314,9.5e-07,307.5,9.5e-07,415,0.296
315,9.5e-07,308,9.5e-07,416,0.245
316,9.5e-07,308.5,9.5e-07,417,0.182
317,9.5e-07,309,9.5e-07,418,0.13
318,9.5e-07,309.5,9.5e-07,419,0.0548
319,9.5e-07,310,9.5e-07,420,0.0197
320,9.5e-07,310.5,9.5e-07,421,0.0105
321,9.5e-07,311,9.5e-07,422,0.00926
322,9.5e-07,311.5,9.5e-07,423,0.0113
323,9.5e-07,312,9.5e-07,424,0.0146
324,9.5e-07,312.5,9.5e-07,425,0.0167
325,9.5e-07,313,1.65e-06,426,0.0171
326,9.5e-07,313.5,2.65e-06,427,0.02
327,9.5e-07,314,2.75e-06,428,0.0358
328,9.5e-07,314.5,1.08e-06,429,0.0745
329,9.5e-07,315,9.5e-07,430,0.153
330,9.5e-07,315.5,9.5e-07,431,0.245
331,9.5e-07,316,9.5e-07,432,0.276
332,9.5e-07,316.5,9.5e-07,433,0.298
333,9.5e-07,317,1.93e-06,434,0.258
334,9.5e-07,317.5,9.5e-07,435,0.138
335,9.5e-07,318,9.5e-07,436,0.0588
336,9.5e-07,318.5,9.5e-07,437,0.0376
337,9.5e-07,319,9.5e-07,438,0.0475
338,9.5e-07,319.5,9.5e-07,439,0.083
339,9.5e-07,320,1.87e-06,440,0.115
340,9.5e-07,320.5,9.5e-07,441,0.098
341,9.5e-07,321,9.5e-07,442,0.06
342,9.5e-07,321.5,1.64e-06,443,0.0548
343,9.5e-07,322,9.5e-07,444,0.109
344,9.5e-07,322.5,9.5e-07,445,0.192
345,9.5e-07,323,9.5e-07,446,0.294
346,9.5e-07,323.5,1.18e-06,447,0.365
347,9.5e-07,324,9.5e-07,448,0.327
348,9.5e-07,324.5,1.62e-06,449,0.373
349,9.5e-07,325,9.5e-07,450,0.42
350,9.5e-07,325.5,9.5e-07,451,0.28
351,9.5e-07,326,1.24e-06,452,0.117
352,9.5e-07,326.5,9.5e-07,453,0.0535
353,9.5e-07,327,9.5e-07,454,0.0465
354,9.5e-07,327.5,1.18e-06,455,0.107
355,9.5e-07,328,1.03e-06,456,0.242
356,9.5e-07,328.5,9.5e-07,457,0.311
357,9.5e-07,329,9.5e-07,458,0.223
358,9.5e-07,329.5,9.5e-07,459,0.101
359,9.5e-07,330,1.01e-06,460,0.0584
360,9.5e-07,330.5,1.28e-06,461,0.101
361,9.5e-07,331,1.16e-06,462,0.252
362,9.5e-07,331.5,9.5e-07,463,0.353
363,9.5e-07,332,9.5e-07,464,0.298
364,9.5e-07,332.5,9.5e-07,465,0.218
365,9.5e-07,333,9.5e-07,466,0.123
366,9.5e-07,333.5,9.5e-07,467,0.0624
367,9.5e-07,334,9.5e-07,468,0.0919
368,9.5e-07,334.5,9.5e-07,469,0.19
369,9.5e-07,335,9.5e-07,470,0.226
370,9.5e-07,335.5,9.5e-07,471,0.135
371,9.5e-07,336,9.5e-07,472,0.0635
372,9.5e-07,336.5,9.5e-07,473,0.0564
373,9.5e-07,337,9.5e-07,474,0.107
374,9.5e-07,337.5,9.5e-07,475,0.176
375,9.5e-07,338,9.5e-07,476,0.133
376,9.5e-07,338.5,9.5e-07,477,0.0463
377,9.5e-07,339,9.5e-07,478,0.0164
378,9.5e-07,339.5,9.5e-07,479,0.0107
379,9.5e-07,340,1.42e-06,480,0.0111
380,9.5e-07,340.5,9.5e-07,481,0.0171
381,9.5e-07,341,9.5e-07,482,0.0303
382,9.5e-07,341.5,9.5e-07,483,0.0356
383,9.5e-07,342,9.5e-07,484,0.0236
384,9.5e-07,342.5,9.5e-07,485,0.0112
385,9.5e-07,343,9.5e-07,486,0.00668
386,9.5e-07,343.5,9.5e-07,487,0.00618
387,9.5e-07,344,9.5e-07,488,0.00857
388,9.5e-07,344.5,9.5e-07,489,0.0184
389,9.5e-07,345,9.5e-07,490,0.0335
390,9.5e-07,345.5,9.5e-07,491,0.0315
391,9.5e-07,346,9.5e-07,492,0.0153
392,9.5e-07,346.5,9.5e-07,493,0.00689
393,9.5e-07,347,9.5e-07,494,0.00484
394,9.5e-07,347.5,9.5e-07,495,0.00543
395,9.5e-07,348,9.5e-07,496,0.00962
396,9.5e-07,348.5,9.5e-07,497,0.019
397,9.5e-07,349,9.5e-07,498,0.0223
398,9.5e-07,349.5,9.5e-07,499,0.0125
399,9.5e-07,350,9.5e-07,500,0.00445
400,9.5e-07,350.5,9.5e-07,501,0.00215
401,9.5e-07,351,9.5e-07,502,0.00149
402,9.5e-07,351.5,9.5e-07,503,0.00137
403,9.5e-07,352,9.5e-07,504,0.00169
404,9.5e-07,352.5,9.5e-07,505,0.00321
405,9.5e-07,353,9.5e-07,506,0.00896
406,9.5e-07,353.5,9.5e-07,507,0.0161
407,9.5e-07,354,9.5e-07,508,0.013
408,9.5e-07,354.5,9.5e-07,509,0.00499
409,9.5e-07,355,9.5e-07,510,0.00182
410,9.5e-07,355.5,9.5e-07,511,0.00112
411,9.5e-07,356,9.5e-07,512,0.000791
412,9.5e-07,356.5,9.5e-07,513,0.000831
413,9.5e-07,357,9.5e-07,514,0.00101
414,9.5e-07,357.5,9.5e-07,515,0.00161
415,9.5e-07,358,9.5e-07,516,0.00345
416,9.5e-07,358.5,9.5e-07,517,0.00795
417,9.5e-07,359,9.5e-07,518,0.0119
418,9.5e-07,359.5,9.5e-07,519,0.00935
419,9.5e-07,360,9.5e-07,520,0.00478
420,9.5e-07,360.5,9.5e-07,521,0.00266
421,9.5e-07,361,9.5e-07,522,0.00198
422,9.5e-07,361.5,2.23e-06,523,0.00195
423,9.5e-07,362,1.16e-06,524,0.00239
424,9.5e-07,362.5,9.5e-07,525,0.00373
425,9.5e-07,363,9.5e-07,526,0.00781
426,9.5e-07,363.5,9.5e-07,527,0.0183
427,9.5e-07,364,9.5e-07,528,0.0282
428,9.5e-07,364.5,9.5e-07,529,0.0234
429,9.5e-07,365,9.5e-07,530,0.0126
430,9.5e-07,365.5,9.5e-07,531,0.00723
431,9.5e-07,366,9.5e-07,532,0.00526
432,9.5e-07,366.5,9.5e-07,533,0.00463
433,9.5e-07,367,9.5e-07,534,0.00458
434,9.5e-07,367.5,9.5e-07,535,0.00474
435,9.5e-07,368,9.5e-07,536,0.00499
436,9.5e-07,368.5,9.5e-07,537,0.00529
437,9.5e-07,369,1.82e-06,538,0.00618
438,9.5e-07,369.5,1.19e-06,539,0.00822
439,9.5e-07,370,9.5e-07,540,0.0137
440,9.5e-07,370.5,9.5e-07,541,0.0238
441,9.5e-07,371,9.5e-07,542,0.0289
442,9.5e-07,371.5,9.5e-07,543,0.02
443,9.5e-07,372,9.5e-07,544,0.00943
444,9.5e-07,372.5,9.5e-07,545,0.00458
445,9.5e-07,373,9.5e-07,546,0.00292
446,9.5e-07,373.5,9.5e-07,547,0.00223
447,9.5e-07,374,9.5e-07,548,0.00203
448,9.5e-07,374.5,9.5e-07,549,0.00222
449,9.5e-07,375,9.5e-07,550,0.00282
450,9.5e-07,375.5,9.5e-07,551,0.00392
451,9.5e-07,376,9.5e-07,552,0.00489
452,9.5e-07,376.5,9.5e-07,553,0.00451
453,9.5e-07,377,9.5e-07,554,0.00304
454,9.5e-07,377.5,9.5e-07,555,0.00169
455,9.5e-07,378,9.5e-07,556,0.00104
456,9.5e-07,378.5,9.5e-07,557,0.000694
457,9.5e-07,379,9.5e-07,558,0.000535
458,9.5e-07,379.5,9.5e-07,559,0.000475
459,9.5e-07,380,9.5e-07,560,0.000353
460,9.5e-07,380.5,9.5e-07,561,0.000419
461,9.5e-07,381,9.5e-07,562,0.000484
462,9.5e-07,381.5,9.5e-07,563,0.000658
463,9.5e-07,382,9.5e-07,564,0.000878
464,9.5e-07,382.5,9.5e-07,565,0.00138
465,9.5e-07,383,9.5e-07,566,0.00215
466,9.5e-07,383.5,9.5e-07,567,0.00339
467,9.5e-07,384,9.5e-07,568,0.00456
468,9.5e-07,384.5,9.5e-07,569,0.00511
469,9.5e-07,385,9.5e-07,570,0.00512
470,9.5e-07,385.5,9.5e-07,571,0.00514
471,9.5e-07,386,9.5e-07,572,0.00589
472,9.5e-07,386.5,9.5e-07,573,0.00804
473,9.5e-07,387,9.5e-07,574,0.0108
474,9.5e-07,387.5,9.5e-07,575,0.0113
475,9.5e-07,388,9.5e-07,576,0.00785
476,9.5e-07,388.5,9.5e-07,577,0.00415
477,9.5e-07,389,9.5e-07,578,0.00208
478,9.5e-07,389.5,9.5e-07,579,0.00117
479,9.5e-07,390,9.5e-07,580,0.0008
480,9.5e-07,390.5,2.19e-06,581,0.000652
481,9.5e-07,391,3.18e-06,582,0.000526
482,9.5e-07,391.5,1.6e-06,583,0.000453
483,9.5e-07,392,9.5e-07,584,0.000462
484,9.5e-07,392.5,9.5e-07,585,0.000474
485,9.5e-07,393,9.5e-07,586,0.000697
486,9.5e-07,393.5,9.5e-07,587,0.000962
487,9.5e-07,394,9.5e-07,588,0.00191
