Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
432,5.09e-07,432,6.3e-08,512,0.00262
433,4.11e-07,433,2.02e-08,513,0.00402
434,2.26e-07,434,1.05e-07,514,0.00672
435,4.29e-07,435,4.96e-08,515,0.0117
436,4.94e-07,436,1.87e-07,516,0.0201
437,6.36e-07,437,2.68e-07,517,0.0308
438,5.92e-07,438,2.71e-07,518,0.0391
439,5.31e-07,439,1.44e-07,519,0.0441
440,5.11e-07,440,1.24e-07,520,0.0472
441,4.5e-07,441,3.27e-08,521,0.0531
442,3.41e-07,442,3.33e-08,522,0.0678
443,4.66e-07,443,5.93e-08,523,0.0971
444,4.1e-07,444,9.38e-08,524,0.144
445,3.64e-07,445,1.47e-07,525,0.221
446,3.43e-07,446,1.01e-07,526,0.332
447,3.3e-07,447,1.02e-07,527,0.441
448,3.07e-07,448,4.55e-08,528,0.497
449,4.82e-07,449,1.49e-07,529,0.498
450,5.12e-07,450,1.97e-07,530,0.504
451,8.12e-07,451,5.84e-08,531,0.526
452,1.01e-06,452,1.1e-07,532,0.53
453,1.03e-06,453,8.71e-08,533,0.5
454,9.08e-07,454,3.71e-08,534,0.46
455,9.32e-07,455,1.47e-07,535,0.432
456,1.84e-06,456,1.36e-07,536,0.441
457,1.67e-06,457,1.29e-07,537,0.481
458,6.71e-07,458,8.52e-08,538,0.526
459,5.56e-07,459,1.36e-07,539,0.523
460,5.25e-07,460,1.55e-07,540,0.464
461,2.04e-07,461,1.85e-07,541,0.393
462,4.61e-07,462,2.36e-07,542,0.368
463,4.55e-07,463,1.27e-07,543,0.378
464,4.67e-07,464,1.21e-07,544,0.363
465,6e-07,465,1.12e-07,545,0.297
466,1.05e-06,466,1.05e-07,546,0.224
467,1.42e-06,467,8.8e-08,547,0.201
468,1.21e-06,468,5.07e-08,548,0.246
469,9e-07,469,7.69e-08,549,0.322
470,6.17e-07,470,1.11e-07,550,0.37
471,3.88e-07,471,2.95e-08,551,0.355
472,4.07e-07,472,4.83e-08,552,0.285
473,4.86e-07,473,1.94e-07,553,0.209
474,4.88e-07,474,2.53e-07,554,0.157
475,5.65e-07,475,2.65e-07,555,0.125
476,4.62e-07,476,1.44e-07,556,0.12
477,4.5e-07,477,9.85e-08,557,0.139
478,5.25e-07,478,9.44e-08,558,0.187
479,6.86e-07,479,7.52e-08,559,0.266
480,9.93e-07,480,1.09e-07,560,0.365
481,1.74e-06,481,7.98e-08,561,0.422
482,2.84e-06,482,7.09e-08,562,0.405
483,1.72e-06,483,1.14e-07,563,0.347
484,7.07e-07,484,1.14e-07,564,0.301
485,5.4e-07,485,5.78e-08,565,0.297
486,3.42e-07,486,2.79e-07,566,0.313
487,3.61e-07,487,6.97e-07,567,0.304
488,3.32e-07,488,2.65e-07,568,0.246
489,3.59e-07,489,1.12e-07,569,0.16
490,3.27e-07,490,1.18e-07,570,0.0907
491,3.68e-07,491,1.64e-08,571,0.0523
492,4.35e-07,492,4.13e-08,572,0.0329
493,4.3e-07,493,5.96e-08,573,0.0245
494,4.96e-07,494,1.21e-07,574,0.0208
495,8.74e-07,495,1.12e-07,575,0.02
496,2.5e-06,496,2.59e-07,576,0.021
497,5.98e-06,497,5.35e-07,577,0.0229
498,3.72e-06,498,1.3e-07,578,0.0238
499,1.16e-06,499,4.85e-08,579,0.0219
500,5.99e-07,500,1.41e-08,580,0.0172
501,4.55e-07,501,7.87e-08,581,0.012
502,3.8e-07,502,4.23e-08,582,0.00776
503,3.64e-07,503,8e-08,583,0.00515
504,4.06e-07,504,9.96e-08,584,0.00359
505,4.22e-07,505,5.23e-08,585,0.00284
506,3.87e-07,506,4.87e-08,586,0.00246
507,5.92e-07,507,5.9e-08,587,0.00229
508,3.04e-06,508,9.65e-08,588,0.00237
509,1.04e-05,509,8.49e-08,589,0.0027
510,2.15e-06,510,6.34e-08,590,0.00331
511,4.33e-07,511,1.15e-07,591,0.00392
512,2.24e-07,512,4.87e-08,592,0.00448
