Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
433,1.01e-07,434,9.5e-07,513,0.0423
434,2.41e-08,435,9.5e-07,514,0.0507
435,1e-10,436,9.5e-07,515,0.0686
436,8.54e-08,437,9.5e-07,516,0.104
437,2.87e-08,438,9.5e-07,517,0.166
438,7.85e-08,439,9.5e-07,518,0.257
439,7.79e-09,440,9.5e-07,519,0.396
440,1e-10,441,9.5e-07,520,0.493
441,9.98e-08,442,9.5e-07,521,0.481
442,1e-10,443,9.5e-07,522,0.474
443,6.27e-08,444,9.5e-07,523,0.509
444,1.34e-07,445,9.5e-07,524,0.524
445,3.97e-08,446,9.5e-07,525,0.491
446,1e-10,447,9.5e-07,526,0.427
447,1.3e-07,448,9.5e-07,527,0.382
448,9e-08,449,9.5e-07,528,0.377
449,6.85e-08,450,9.5e-07,529,0.423
450,1e-10,451,9.5e-07,530,0.5
451,7.46e-08,452,9.5e-07,531,0.544
452,1.04e-07,453,9.5e-07,532,0.475
453,1e-10,454,9.5e-07,533,0.368
454,6.06e-08,455,9.5e-07,534,0.343
455,8.25e-08,456,9.5e-07,535,0.381
456,2.34e-08,457,9.5e-07,536,0.323
457,1.76e-07,458,9.5e-07,537,0.201
458,1e-10,459,9.5e-07,538,0.137
459,1.16e-07,460,9.5e-07,539,0.152
460,8.04e-08,461,9.5e-07,540,0.211
461,1.05e-07,462,9.5e-07,541,0.321
462,9.55e-08,463,9.5e-07,542,0.381
463,1e-10,464,9.5e-07,543,0.342
464,1e-10,465,9.5e-07,544,0.249
465,5.47e-07,466,9.5e-07,545,0.181
466,8.75e-07,467,9.5e-07,546,0.136
467,1.17e-07,468,9.5e-07,547,0.116
468,3.58e-08,469,9.5e-07,548,0.122
469,9.44e-08,470,9.5e-07,549,0.156
470,9.75e-08,471,9.5e-07,550,0.226
471,6.61e-08,472,9.5e-07,551,0.336
472,2.72e-07,473,9.5e-07,552,0.424
473,3.5e-07,474,9.5e-07,553,0.406
474,1e-10,475,1.28e-06,554,0.325
475,4.75e-08,476,9.5e-07,555,0.259
476,4.73e-08,477,9.5e-07,556,0.239
477,1e-10,478,9.5e-07,557,0.257
478,3.58e-07,479,9.5e-07,558,0.272
479,5.53e-08,480,9.5e-07,559,0.233
480,1e-10,481,9.5e-07,560,0.146
481,4.71e-08,482,9.5e-07,561,0.0789
482,8.45e-08,483,9.5e-07,562,0.0438
483,9.51e-08,484,9.5e-07,563,0.028
484,2.04e-08,485,9.5e-07,564,0.0206
485,1.14e-07,486,9.5e-07,565,0.0171
486,4.86e-08,487,9.5e-07,566,0.016
487,1.06e-08,488,9.5e-07,567,0.0166
488,1.05e-07,489,9.5e-07,568,0.0184
489,1.24e-08,490,9.5e-07,569,0.0204
490,1e-10,491,9.5e-07,570,0.0198
491,5.71e-08,492,9.5e-07,571,0.0156
492,4.05e-08,493,9.5e-07,572,0.0105
493,9.32e-08,494,9.5e-07,573,0.00662
494,4.74e-08,495,9.5e-07,574,0.0045
495,6.49e-08,496,9.5e-07,575,0.00316
496,2.95e-08,497,9.5e-07,576,0.00247
497,3.86e-08,498,9.5e-07,577,0.00211
498,1e-10,499,1.35e-06,578,0.00196
499,7.7e-08,500,2.68e-06,579,0.00193
500,1.95e-08,501,9.5e-07,580,0.00217
501,7.45e-08,502,9.5e-07,581,0.00254
502,4.98e-08,503,9.5e-07,582,0.00315
503,4.46e-08,504,9.5e-07,583,0.00377
504,5.01e-08,505,9.5e-07,584,0.00409
505,3.97e-08,506,9.5e-07,585,0.00342
506,4.81e-08,507,9.5e-07,586,0.00249
507,1e-07,508,9.5e-07,587,0.00169
508,4.53e-08,509,9.5e-07,588,0.00124
509,1e-10,510,9.5e-07,589,0.000855
510,1e-10,511,9.5e-07,590,0.000744
511,7.05e-08,512,9.5e-07,591,0.000648
512,9.5e-08,513,9.5e-07,592,0.000745
513,7.98e-08,514,9.5e-07,593,0.000638
514,6.45e-08,515,9.5e-07,594,0.000818
515,2.29e-08,516,9.5e-07,595,0.000703
516,3.3e-08,517,9.5e-07,596,0.000942
517,2.25e-07,518,9.5e-07,597,0.00125
518,7.87e-08,519,9.5e-07,598,0.00152
519,6.59e-08,520,9.5e-07,599,0.00167
520,7.9e-08,521,9.5e-07,600,0.00137
521,1e-10,522,9.5e-07,601,0.000994
522,8.23e-09,523,9.5e-07,602,0.00088
523,8.34e-08,524,9.5e-07,603,0.000689
524,6.81e-08,525,9.5e-07,604,0.000399
525,1.04e-07,526,9.5e-07,605,0.00033
526,9.82e-09,527,9.5e-07,606,0.000276
527,6.55e-08,528,9.5e-07,607,0.000326
528,7.56e-08,529,9.5e-07,608,0.000226
529,1e-10,530,9.5e-07,609,0.000291
530,2.75e-08,531,9.5e-07,610,0.000426
