Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
425,2.19e-06,363,3.1e-07,425,0.527
426,2.52e-06,363.5,3.37e-07,426,0.592
427,2.64e-06,364,1.84e-07,427,0.68
428,2.33e-06,364.5,4.44e-07,428,0.794
429,2.57e-06,365,2.42e-07,429,0.884
430,2.6e-06,365.5,3.56e-07,430,0.936
431,2.77e-06,366,3.25e-07,431,0.95
432,2.54e-06,366.5,3.15e-07,432,0.951
433,1.43e-06,367,2.83e-07,433,0.952
434,1.07e-06,367.5,4.7e-07,434,0.951
435,1.56e-06,368,3.62e-07,435,0.954
436,2.47e-06,368.5,3.05e-07,436,0.958
437,1.84e-06,369,8.46e-08,437,0.96
438,1.64e-06,369.5,2.14e-07,438,0.964
439,2.47e-06,370,7.32e-08,439,0.965
440,2.73e-06,370.5,2.98e-07,440,0.964
441,2.29e-06,371,3.15e-07,441,0.965
442,2.99e-06,371.5,3.38e-07,442,0.964
443,2.56e-06,372,2.4e-07,443,0.966
444,1.25e-06,372.5,3.59e-07,444,0.969
445,1.17e-06,373,2.12e-07,445,0.97
446,1.93e-06,373.5,2.56e-07,446,0.971
447,3.16e-06,374,1.95e-07,447,0.968
448,2.47e-06,374.5,1.83e-07,448,0.965
449,2.7e-06,375,1.96e-07,449,0.963
450,3.64e-06,375.5,1.21e-07,450,0.961
451,2.69e-06,376,2.15e-07,451,0.965
452,1.9e-06,376.5,2.07e-07,452,0.966
453,2e-06,377,4.01e-07,453,0.967
454,2.64e-06,377.5,2.47e-07,454,0.969
455,2.99e-06,378,2.96e-07,455,0.97
456,2.34e-06,378.5,2.53e-07,456,0.973
457,1.93e-06,379,2.26e-07,457,0.973
458,1.9e-06,379.5,3.03e-07,458,0.973
459,2.24e-06,380,2.73e-07,459,0.97
460,2.57e-06,380.5,3.12e-07,460,0.968
461,2.2e-06,381,1.41e-07,461,0.967
462,2.11e-06,381.5,2.3e-07,462,0.966
463,1.75e-06,382,1.86e-07,463,0.967
464,1.09e-06,382.5,2.11e-07,464,0.969
465,1.19e-06,383,3.27e-07,465,0.971
466,1.67e-06,383.5,2.12e-07,466,0.972
467,2.99e-06,384,3.5e-07,467,0.974
468,2.88e-06,384.5,4.1e-07,468,0.974
469,1.92e-06,385,3.13e-07,469,0.979
470,2.03e-06,385.5,2.01e-07,470,0.977
471,3.02e-06,386,2.4e-07,471,0.978
472,2.31e-06,386.5,3.99e-08,472,0.976
473,1.48e-06,387,2.75e-07,473,0.976
474,1.33e-06,387.5,4.26e-07,474,0.975
475,2e-06,388,3.1e-07,475,0.975
476,2.62e-06,388.5,3.09e-07,476,0.977
477,1.86e-06,389,2.46e-07,477,0.977
478,1.31e-06,389.5,2.94e-07,478,0.98
479,1.55e-06,390,2.5e-07,479,0.982
480,2.6e-06,390.5,4.05e-07,480,0.982
481,2.84e-06,391,1.85e-07,481,0.981
482,2.08e-06,391.5,2.13e-07,482,0.98
483,1.73e-06,392,3.28e-07,483,0.98
484,2.21e-06,392.5,2.44e-07,484,0.979
485,1.96e-06,393,2.14e-07,485,0.976
486,1.27e-06,393.5,1.57e-07,486,0.974
487,9.5e-07,394,1.94e-07,487,0.97
488,9.5e-07,394.5,3.17e-07,488,0.971
489,9.5e-07,395,2.52e-07,489,0.972
490,9.5e-07,395.5,3.02e-07,490,0.972
491,9.5e-07,396,2.56e-07,491,0.974
492,9.5e-07,396.5,3.65e-07,492,0.973
493,9.5e-07,397,2.4e-07,493,0.973
494,9.5e-07,397.5,3.32e-07,494,0.975
495,9.5e-07,398,2.72e-07,495,0.977
496,9.5e-07,398.5,2.01e-07,496,0.978
497,9.5e-07,399,2.68e-07,497,0.98
498,9.5e-07,399.5,3.14e-07,498,0.976
499,9.5e-07,400,3.77e-07,499,0.975
500,9.5e-07,400.5,2.5e-07,500,0.977
501,9.5e-07,401,4.24e-07,501,0.974
502,9.5e-07,401.5,2.8e-07,502,0.972
503,9.5e-07,402,3.5e-07,503,0.972
504,9.5e-07,402.5,3.31e-07,504,0.972
505,9.5e-07,403,3.3e-07,505,0.971
506,9.5e-07,403.5,1.9e-07,506,0.971
507,9.5e-07,404,1.78e-07,507,0.974
508,9.5e-07,404.5,3.26e-07,508,0.976
509,9.5e-07,405,2.22e-07,509,0.975
510,9.5e-07,405.5,2.33e-07,510,0.974
511,9.5e-07,406,2.87e-07,511,0.973
512,9.5e-07,406.5,1.12e-07,512,0.973
513,9.5e-07,407,2.43e-07,513,0.974
514,9.5e-07,407.5,2.53e-07,514,0.974
515,9.5e-07,408,2.08e-07,515,0.974
516,9.5e-07,408.5,1.27e-07,516,0.972
517,9.5e-07,409,2.88e-07,517,0.973
518,9.5e-07,409.5,3.59e-07,518,0.974
519,9.5e-07,410,3.69e-07,519,0.974
520,9.5e-07,410.5,2.82e-07,520,0.975
521,9.5e-07,411,3.51e-07,521,0.976
522,9.5e-07,411.5,2.71e-07,522,0.976
523,9.5e-07,412,1.74e-07,523,0.976
524,9.5e-07,412.5,1.05e-07,524,0.976
525,9.5e-07,413,2.34e-07,525,0.976
526,9.5e-07,413.5,3.06e-07,526,0.976
527,9.5e-07,414,2.9e-07,527,0.977
528,9.5e-07,414.5,2.88e-07,528,0.977
529,9.5e-07,415,2.23e-07,529,0.977
530,9.5e-07,415.5,2.84e-07,530,0.976
531,9.5e-07,416,2.45e-07,531,0.975
532,9.5e-07,416.5,3.14e-07,532,0.973
533,9.5e-07,417,2.85e-07,533,0.971
534,9.5e-07,417.5,3.09e-07,534,0.97
535,9.5e-07,418,1.77e-07,535,0.969
536,9.5e-07,418.5,2.81e-07,536,0.969
537,9.5e-07,419,2.9e-07,537,0.969
538,9.5e-07,419.5,2.71e-07,538,0.969
539,9.5e-07,420,3.19e-07,539,0.969
540,9.5e-07,420.5,2.54e-07,540,0.969
541,9.5e-07,421,2.94e-07,541,0.971
542,9.5e-07,421.5,2.74e-07,542,0.971
543,9.5e-07,422,2.68e-07,543,0.97
544,9.5e-07,422.5,3.57e-07,544,0.972
545,9.5e-07,423,3.5e-07,545,0.976
546,9.5e-07,423.5,1.47e-07,546,0.976
547,1.31e-06,424,2.02e-07,547,0.975
548,1.48e-06,424.5,2.8e-07,548,0.976
549,1.46e-06,425,2.86e-07,549,0.974
550,1.35e-06,425.5,2.11e-07,550,0.974
551,1.72e-06,426,3.12e-07,551,0.973
552,2.01e-06,426.5,3.41e-07,552,0.972
553,2.11e-06,427,3.35e-07,553,0.97
554,2.23e-06,427.5,3.15e-07,554,0.97
555,1.93e-06,428,3.43e-07,555,0.968
556,1.62e-06,428.5,3.57e-07,556,0.965
557,1.54e-06,429,3.59e-07,557,0.964
558,1.43e-06,429.5,4.47e-07,558,0.964
559,1.58e-06,430,3.87e-07,559,0.963
560,1.67e-06,430.5,5.72e-07,560,0.963
561,1.99e-06,431,5.63e-07,561,0.963
562,2.23e-06,431.5,6.09e-07,562,0.963
563,2.7e-06,432,7.62e-07,563,0.963
564,2.65e-06,432.5,1.07e-06,564,0.964
565,2.74e-06,433,1.84e-06,565,0.966
566,2.42e-06,433.5,6.15e-06,566,0.968
567,2.34e-06,434,3.62e-05,567,0.969
568,2.45e-06,434.5,0.000181,568,0.97
569,2.98e-06,435,0.00103,569,0.972
570,3.03e-06,435.5,0.0112,570,0.974
571,3.2e-06,436,0.125,571,0.976
572,3.08e-06,436.5,0.493,572,0.978
573,2.72e-06,437,0.847,573,0.978
574,1.98e-06,437.5,0.937,574,0.979
575,1.8e-06,438,0.952,575,0.981
576,1.84e-06,438.5,0.962,576,0.981
577,2.08e-06,439,0.96,577,0.982
578,2.13e-06,439.5,0.967,578,0.983
579,2.84e-06,440,0.976,579,0.983
580,2.98e-06,440.5,0.979,580,0.982
581,3.01e-06,441,0.978,581,0.983
582,2.84e-06,441.5,0.977,582,0.982
583,2.49e-06,442,0.975,583,0.98
584,2.37e-06,442.5,0.974,584,0.979
585,2.57e-06,443,0.971,585,0.978
586,2.61e-06,443.5,0.975,586,0.977
587,2.35e-06,444,0.977,587,0.977
588,1.86e-06,444.5,0.979,588,0.977
589,1.05e-06,445,0.979,589,0.976
590,9.5e-07,445.5,0.982,590,0.976
591,9.5e-07,446,0.982,591,0.975
592,9.5e-07,446.5,0.984,592,0.974
593,9.5e-07,447,0.984,593,0.974
594,9.5e-07,447.5,0.981,594,0.973
595,9.5e-07,448,0.981,595,0.974
596,9.5e-07,448.5,0.983,596,0.974
597,9.5e-07,449,0.982,597,0.973
598,9.5e-07,449.5,0.983,598,0.972
599,9.5e-07,450,0.983,599,0.971
600,9.5e-07,450.5,0.984,600,0.97
601,9.5e-07,451,0.985,601,0.974
602,9.5e-07,451.5,0.985,602,0.977
603,9.5e-07,452,0.985,603,0.978
604,9.5e-07,452.5,0.985,604,0.975
605,9.5e-07,453,0.984,605,0.974
606,9.5e-07,453.5,0.983,606,0.974
607,9.5e-07,454,0.986,607,0.975
608,9.5e-07,454.5,0.987,608,0.976
609,9.5e-07,455,0.988,609,0.977
610,9.5e-07,455.5,0.985,610,0.98
611,9.5e-07,456,0.982,611,0.977
612,9.5e-07,456.5,0.985,612,0.976
613,9.77e-07,457,0.987,613,0.975
614,1.63e-06,457.5,0.985,614,0.974
615,2.71e-06,458,0.981,615,0.976
616,3.48e-06,458.5,0.977,616,0.976
617,2.49e-06,459,0.977,617,0.974
618,1.45e-06,459.5,0.982,618,0.976
619,9.5e-07,460,0.983,619,0.974
620,9.5e-07,460.5,0.987,620,0.972
621,9.5e-07,461,0.986,621,0.971
622,9.5e-07,461.5,0.985,622,0.969
623,9.5e-07,462,0.982,623,0.969
624,9.5e-07,462.5,0.985,624,0.967
625,9.5e-07,463,0.985,625,0.965
626,9.5e-07,463.5,0.987,626,0.964
627,9.5e-07,464,0.985,627,0.964
628,9.5e-07,464.5,0.984,628,0.962
629,9.5e-07,465,0.984,629,0.961
630,9.5e-07,465.5,0.983,630,0.961
631,9.5e-07,466,0.985,631,0.961
632,9.5e-07,466.5,0.985,632,0.962
633,9.5e-07,467,0.983,633,0.962
634,9.5e-07,467.5,0.983,634,0.962
635,9.5e-07,468,0.98,635,0.963
636,1.01e-06,468.5,0.983,636,0.964
637,1.45e-06,469,0.986,637,0.966
638,2.19e-06,469.5,0.987,638,0.967
639,3.46e-06,470,0.985,639,0.968
640,4.49e-06,470.5,0.983,640,0.971
641,3.18e-06,471,0.984,641,0.97
642,1.8e-06,471.5,0.987,642,0.969
643,9.5e-07,472,0.986,643,0.97
644,9.5e-07,472.5,0.984,644,0.971
645,9.5e-07,473,0.98,645,0.971
646,9.5e-07,473.5,0.977,646,0.971
647,9.5e-07,474,0.977,647,0.972
648,9.5e-07,474.5,0.981,648,0.971
649,9.5e-07,475,0.981,649,0.97
650,9.5e-07,475.5,0.979,650,0.968
651,9.5e-07,476,0.977,651,0.966
652,9.5e-07,476.5,0.978,652,0.965
653,9.5e-07,477,0.978,653,0.964
654,9.5e-07,477.5,0.981,654,0.961
655,9.5e-07,478,0.981,655,0.958
656,9.5e-07,478.5,0.98,656,0.956
657,9.5e-07,479,0.98,657,0.954
658,9.5e-07,479.5,0.98,658,0.953
659,9.5e-07,480,0.981,659,0.952
660,9.5e-07,480.5,0.98,660,0.952
661,9.5e-07,481,0.979,661,0.951
662,1.09e-06,481.5,0.98,662,0.95
663,1.59e-06,482,0.979,663,0.949
664,2.5e-06,482.5,0.98,664,0.95
665,3.15e-06,483,0.974,665,0.95
666,3.21e-06,483.5,0.97,666,0.951
667,2.23e-06,484,0.958,667,0.953
668,1.86e-06,484.5,0.937,668,0.955
669,1.33e-06,485,0.888,669,0.956
670,1.2e-06,485.5,0.528,670,0.958
671,1.04e-06,486,0.248,671,0.959
672,1.2e-06,486.5,0.0338,672,0.961
673,1.26e-06,487,0.00757,673,0.963
674,1.24e-06,487.5,0.00174,674,0.966
675,1.19e-06,488,0.000487,675,0.966
676,9.5e-07,488.5,0.000146,676,0.967
677,9.5e-07,489,5.08e-05,677,0.968
678,9.5e-07,489.5,2.1e-05,678,0.969
679,9.5e-07,490,9.68e-06,679,0.969
680,9.5e-07,490.5,4.68e-06,680,0.969
681,9.5e-07,491,2.73e-06,681,0.968
682,9.5e-07,491.5,1.69e-06,682,0.967
683,9.5e-07,492,1.1e-06,683,0.967
684,9.5e-07,492.5,6.73e-07,684,0.965
685,9.5e-07,493,5.06e-07,685,0.964
686,9.5e-07,493.5,4.59e-07,686,0.962
687,9.5e-07,494,3.48e-07,687,0.96
688,9.5e-07,494.5,3.2e-07,688,0.958
689,1.22e-06,495,2.59e-07,689,0.955
690,1.67e-06,495.5,3.22e-07,690,0.953
691,3.16e-06,496,2.64e-07,691,0.951
692,4.87e-06,496.5,1.97e-07,692,0.949
693,4.98e-06,497,2.12e-07,693,0.948
694,3.64e-06,497.5,2.66e-07,694,0.946
695,3.32e-06,498,2.23e-07,695,0.944
