Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
423,9.59e-08,362,9.5e-07,503,0.984
424,5.32e-08,362.5,9.5e-07,504,0.983
425,1e-08,363,9.5e-07,505,0.983
426,1e-08,363.5,9.5e-07,506,0.982
427,4.22e-08,364,9.5e-07,507,0.982
428,1e-08,364.5,9.5e-07,508,0.983
429,1.47e-08,365,9.5e-07,509,0.982
430,1.13e-07,365.5,9.5e-07,510,0.981
431,1e-08,366,9.5e-07,511,0.98
432,1e-08,366.5,9.5e-07,512,0.979
433,6.55e-08,367,9.5e-07,513,0.978
434,6.65e-08,367.5,9.5e-07,514,0.978
435,7.7e-08,368,9.5e-07,515,0.978
436,1e-08,368.5,9.5e-07,516,0.978
437,1.23e-07,369,9.5e-07,517,0.978
438,9.59e-08,369.5,9.5e-07,518,0.979
439,1e-08,370,9.5e-07,519,0.979
440,2.26e-07,370.5,9.5e-07,520,0.98
441,7.46e-08,371,9.5e-07,521,0.981
442,4.16e-08,371.5,9.5e-07,522,0.983
443,1.97e-07,372,9.5e-07,523,0.983
444,2.83e-07,372.5,9.5e-07,524,0.983
445,6.74e-07,373,9.5e-07,525,0.983
446,4.34e-06,373.5,9.5e-07,526,0.982
447,8e-05,374,9.5e-07,527,0.981
448,0.00228,374.5,9.5e-07,528,0.98
449,0.17,375,9.5e-07,529,0.979
450,0.771,375.5,1.03e-06,530,0.979
451,0.945,376,9.5e-07,531,0.979
452,0.948,376.5,9.5e-07,532,0.981
453,0.958,377,9.5e-07,533,0.981
454,0.955,377.5,9.5e-07,534,0.982
455,0.968,378,9.5e-07,535,0.982
456,0.97,378.5,9.5e-07,536,0.983
457,0.972,379,9.5e-07,537,0.983
458,0.979,379.5,9.5e-07,538,0.983
459,0.981,380,9.5e-07,539,0.984
460,0.984,380.5,9.5e-07,540,0.983
461,0.982,381,9.5e-07,541,0.983
462,0.979,381.5,9.5e-07,542,0.984
463,0.987,382,9.5e-07,543,0.984
464,0.988,382.5,9.5e-07,544,0.984
465,0.985,383,9.5e-07,545,0.984
466,0.983,383.5,9.5e-07,546,0.983
467,0.974,384,9.5e-07,547,0.983
468,0.969,384.5,9.5e-07,548,0.983
469,0.975,385,9.5e-07,549,0.982
470,0.981,385.5,9.5e-07,550,0.982
471,0.975,386,9.5e-07,551,0.979
472,0.973,386.5,9.5e-07,552,0.98
473,0.981,387,9.5e-07,553,0.98
474,0.988,387.5,9.5e-07,554,0.982
475,0.981,388,9.5e-07,555,0.982
476,0.977,388.5,9.5e-07,556,0.982
477,0.978,389,9.5e-07,557,0.982
478,0.979,389.5,9.5e-07,558,0.983
479,0.986,390,9.5e-07,559,0.984
480,0.983,390.5,9.5e-07,560,0.984
481,0.983,391,9.5e-07,561,0.983
482,0.969,391.5,9.5e-07,562,0.983
483,0.951,392,9.5e-07,563,0.982
484,0.965,392.5,9.5e-07,564,0.981
485,0.974,393,9.5e-07,565,0.979
486,0.957,393.5,9.5e-07,566,0.979
487,0.947,394,9.5e-07,567,0.979
488,0.941,394.5,9.5e-07,568,0.98
489,0.497,395,9.5e-07,569,0.982
490,0.033,395.5,9.5e-07,570,0.983
491,0.0125,396,9.5e-07,571,0.984
492,0.000874,396.5,9.5e-07,572,0.986
493,9.5e-05,397,9.5e-07,573,0.987
494,1.44e-05,397.5,9.5e-07,574,0.988
495,2.72e-06,398,9.5e-07,575,0.989
496,4.44e-07,398.5,9.5e-07,576,0.989
497,1.34e-07,399,9.5e-07,577,0.988
498,2.24e-09,399.5,9.5e-07,578,0.986
499,1e-08,400,9.5e-07,579,0.985
500,1e-08,400.5,9.5e-07,580,0.985
501,1e-08,401,9.5e-07,581,0.985
502,1e-08,401.5,9.5e-07,582,0.983
503,1e-08,402,9.5e-07,583,0.983
504,1e-08,402.5,9.5e-07,584,0.984
505,1e-08,403,9.5e-07,585,0.984
506,9.95e-09,403.5,9.5e-07,586,0.985
507,1e-08,404,9.5e-07,587,0.984
508,1e-08,404.5,9.5e-07,588,0.985
509,1e-08,405,9.5e-07,589,0.984
510,1e-08,405.5,9.5e-07,590,0.984
511,1e-08,406,9.5e-07,591,0.985
512,1e-08,406.5,9.5e-07,592,0.984
513,1e-08,407,9.5e-07,593,0.982
514,1e-08,407.5,9.5e-07,594,0.981
515,1e-08,408,9.5e-07,595,0.978
516,1e-08,408.5,9.5e-07,596,0.977
517,1e-08,409,9.5e-07,597,0.974
518,1e-08,409.5,9.5e-07,598,0.972
519,1e-08,410,9.5e-07,599,0.971
520,1e-08,410.5,9.5e-07,600,0.969
521,1e-08,411,9.5e-07,601,0.967
522,1e-08,411.5,9.5e-07,602,0.969
523,1e-08,412,9.5e-07,603,0.967
524,1e-08,412.5,9.5e-07,604,0.969
525,1e-08,413,9.5e-07,605,0.967
526,1e-08,413.5,9.5e-07,606,0.967
527,1e-08,414,9.5e-07,607,0.966
528,1e-08,414.5,9.5e-07,608,0.966
529,1e-08,415,9.5e-07,609,0.966
530,1e-08,415.5,9.5e-07,610,0.966
531,1e-08,416,9.5e-07,611,0.967
532,1e-08,416.5,9.5e-07,612,0.968
533,1e-08,417,9.5e-07,613,0.969
534,1e-08,417.5,9.5e-07,614,0.971
535,1e-08,418,9.5e-07,615,0.973
536,1e-08,418.5,9.5e-07,616,0.975
537,1e-08,419,9.5e-07,617,0.977
538,1e-08,419.5,9.5e-07,618,0.979
539,1e-08,420,9.5e-07,619,0.981
540,1e-08,420.5,9.5e-07,620,0.982
541,1e-08,421,9.5e-07,621,0.983
542,1e-08,421.5,9.5e-07,622,0.984
543,1e-08,422,9.5e-07,623,0.984
544,1e-08,422.5,9.5e-07,624,0.984
545,1e-08,423,9.5e-07,625,0.983
546,1e-08,423.5,9.5e-07,626,0.982
547,1e-08,424,9.5e-07,627,0.981
548,1e-08,424.5,9.5e-07,628,0.981
549,1e-08,425,9.5e-07,629,0.98
550,1e-08,425.5,9.5e-07,630,0.98
551,1e-08,426,9.5e-07,631,0.979
552,1e-08,426.5,9.5e-07,632,0.98
553,1e-08,427,9.5e-07,633,0.98
554,1e-08,427.5,9.5e-07,634,0.981
555,1e-08,428,9.5e-07,635,0.98
556,1e-08,428.5,9.5e-07,636,0.98
557,1e-08,429,9.5e-07,637,0.98
558,1e-08,429.5,9.5e-07,638,0.978
559,1e-08,430,9.5e-07,639,0.977
560,1e-08,430.5,9.5e-07,640,0.974
561,1e-08,431,9.5e-07,641,0.969
562,1e-08,431.5,9.5e-07,642,0.966
563,1e-08,432,9.5e-07,643,0.962
564,1e-08,432.5,9.5e-07,644,0.957
565,1e-08,433,9.5e-07,645,0.953
566,1e-08,433.5,9.5e-07,646,0.948
567,1e-08,434,9.5e-07,647,0.945
568,1e-08,434.5,9.5e-07,648,0.943
569,2.25e-08,435,9.5e-07,649,0.942
570,1e-08,435.5,9.5e-07,650,0.943
571,1.81e-07,436,9.5e-07,651,0.945
572,1.17e-10,436.5,9.5e-07,652,0.949
573,1e-08,437,9.5e-07,653,0.955
574,1e-08,437.5,9.5e-07,654,0.962
575,1e-08,438,9.5e-07,655,0.969
576,3.44e-07,438.5,9.5e-07,656,0.976
577,4.25e-07,439,9.5e-07,657,0.983
578,1e-08,439.5,9.5e-07,658,0.987
579,1e-08,440,9.5e-07,659,0.99
580,1e-08,440.5,9.5e-07,660,0.989
581,1e-08,441,9.5e-07,661,0.985
582,1e-08,441.5,9.5e-07,662,0.978
583,4.59e-07,442,9.5e-07,663,0.967
584,1e-08,442.5,9.5e-07,664,0.954
585,1e-08,443,9.5e-07,665,0.939
586,1e-08,443.5,9.5e-07,666,0.922
587,1e-08,444,9.5e-07,667,0.903
588,1e-08,444.5,9.5e-07,668,0.887
589,1e-08,445,9.5e-07,669,0.872
590,1e-08,445.5,9.5e-07,670,0.857
591,1.93e-07,446,9.5e-07,671,0.845
592,1e-08,446.5,9.5e-07,672,0.838
593,1e-08,447,9.5e-07,673,0.832
594,1e-08,447.5,9.5e-07,674,0.829
595,1e-08,448,9.5e-07,675,0.829
596,1e-08,448.5,9.5e-07,676,0.832
597,1e-08,449,9.5e-07,677,0.838
598,1e-08,449.5,9.5e-07,678,0.847
599,1e-08,450,9.5e-07,679,0.857
600,1e-08,450.5,9.5e-07,680,0.87
601,1e-08,451,9.5e-07,681,0.886
602,1e-08,451.5,9.5e-07,682,0.902
603,1e-08,452,9.5e-07,683,0.918
604,1e-08,452.5,9.5e-07,684,0.932
605,1e-08,453,9.5e-07,685,0.945
606,1e-08,453.5,9.5e-07,686,0.954
607,1e-08,454,9.5e-07,687,0.958
608,1e-08,454.5,9.5e-07,688,0.957
609,1e-08,455,9.5e-07,689,0.952
610,1e-08,455.5,9.5e-07,690,0.943
611,1e-08,456,9.5e-07,691,0.931
612,1e-08,456.5,9.5e-07,692,0.918
613,5.91e-08,457,9.5e-07,693,0.904
614,1e-08,457.5,9.5e-07,694,0.887
615,1e-08,458,9.5e-07,695,0.878
616,1e-08,458.5,9.5e-07,696,0.866
617,1e-08,459,9.5e-07,697,0.855
618,1e-08,459.5,9.5e-07,698,0.848
619,1e-08,460,9.5e-07,699,0.842
620,1e-08,460.5,9.5e-07,700,0.837
621,1e-08,461,9.5e-07,701,0.834
622,1.23e-07,461.5,9.5e-07,702,0.832
623,4.5e-08,462,9.5e-07,703,0.832
624,1e-08,462.5,9.5e-07,704,0.833
625,1e-08,463,9.5e-07,705,0.838
626,1e-08,463.5,9.5e-07,706,0.842
627,1e-08,464,9.5e-07,707,0.847
628,1e-08,464.5,9.5e-07,708,0.853
629,2.75e-07,465,9.5e-07,709,0.86
630,2.98e-06,465.5,9.5e-07,710,0.867
631,2.13e-06,466,9.5e-07,711,0.873
632,3.56e-07,466.5,9.5e-07,712,0.877
633,7.73e-08,467,9.5e-07,713,0.88
634,1.29e-07,467.5,9.5e-07,714,0.883
635,1.12e-06,468,9.5e-07,715,0.883
636,1.34e-06,468.5,9.5e-07,716,0.88
637,1.21e-07,469,9.5e-07,717,0.877
638,1e-08,469.5,9.5e-07,718,0.873
639,1e-08,470,9.5e-07,719,0.868
640,1e-08,470.5,9.5e-07,720,0.863
641,1e-08,471,9.5e-07,721,0.859
642,1e-08,471.5,9.5e-07,722,0.856
643,1e-08,472,9.5e-07,723,0.854
644,1e-08,472.5,9.5e-07,724,0.853
645,1e-08,473,9.5e-07,725,0.853
646,1e-08,473.5,9.5e-07,726,0.853
647,1e-08,474,9.5e-07,727,0.852
648,1e-08,474.5,9.5e-07,728,0.85
649,1.6e-07,475,9.5e-07,729,0.848
650,1e-08,475.5,9.5e-07,730,0.843
651,1e-08,476,9.5e-07,731,0.836
652,1e-08,476.5,9.5e-07,732,0.827
653,1e-08,477,9.5e-07,733,0.816
654,1e-08,477.5,9.5e-07,734,0.802
655,1e-08,478,9.5e-07,735,0.788
656,1e-08,478.5,9.5e-07,736,0.772
657,1e-08,479,9.5e-07,737,0.754
658,1e-08,479.5,9.5e-07,738,0.735
659,1e-08,480,9.5e-07,739,0.715
660,1e-08,480.5,9.5e-07,740,0.697
661,1e-08,481,9.5e-07,741,0.678
662,1e-08,481.5,9.5e-07,742,0.662
663,1e-08,482,9.5e-07,743,0.647
664,8.18e-08,482.5,9.5e-07,744,0.636
665,1e-08,483,9.5e-07,745,0.628
666,1e-08,483.5,9.5e-07,746,0.624
667,1e-08,484,9.5e-07,747,0.625
668,1e-08,484.5,9.5e-07,748,0.631
669,1e-08,485,9.5e-07,749,0.644
670,1e-08,485.5,9.5e-07,750,0.663
671,1e-08,486,9.5e-07,751,0.687
672,1e-08,486.5,9.5e-07,752,0.715
673,1e-08,487,9.5e-07,753,0.74
674,1e-08,487.5,9.5e-07,754,0.753
675,1e-08,488,9.5e-07,755,0.748
676,1e-08,488.5,9.5e-07,756,0.72
677,1e-08,489,9.5e-07,757,0.678
678,1e-08,489.5,9.5e-07,758,0.624
679,1e-08,490,9.5e-07,759,0.573
680,1e-08,490.5,9.5e-07,760,0.533
681,1e-08,491,9.5e-07,761,0.501
682,1e-08,491.5,9.5e-07,762,0.482
683,1e-08,492,9.5e-07,763,0.471
684,1e-08,492.5,9.5e-07,764,0.468
685,1e-08,493,9.5e-07,765,0.471
686,1e-08,493.5,9.5e-07,766,0.478
687,1e-08,494,9.5e-07,767,0.489
688,1e-08,494.5,9.5e-07,768,0.5
689,1e-08,495,9.5e-07,769,0.512
690,1e-08,495.5,9.5e-07,770,0.523
691,1e-08,496,2.22e-06,771,0.531
692,1.49e-08,496.5,8.44e-06,772,0.536
693,1e-08,497,3.62e-05,773,0.537
694,1e-08,497.5,0.000169,774,0.535
695,1e-08,498,0.000937,775,0.534
696,1e-08,498.5,0.00683,776,0.537
697,1.95e-08,499,0.0529,777,0.556
698,5e-07,499.5,0.263,778,0.599
699,1e-08,500,0.639,779,0.659
700,5.79e-09,500.5,0.911,780,0.68
