Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,9.66e-07,300,9.5e-07,380,0.289
301,9.5e-07,301,9.5e-07,381,0.282
302,9.5e-07,302,9.5e-07,382,0.276
303,9.5e-07,303,9.5e-07,383,0.293
304,9.5e-07,304,9.5e-07,384,0.31
305,9.5e-07,305,9.5e-07,385,0.304
306,9.5e-07,306,9.5e-07,386,0.347
307,9.5e-07,307,9.5e-07,387,0.456
308,9.5e-07,308,9.5e-07,388,0.487
309,9.5e-07,309,9.5e-07,389,0.46
310,9.5e-07,310,9.5e-07,390,0.455
311,9.5e-07,311,9.5e-07,391,0.501
312,9.5e-07,312,9.5e-07,392,0.532
313,9.5e-07,313,9.5e-07,393,0.525
314,9.5e-07,314,9.5e-07,394,0.496
315,9.5e-07,315,9.5e-07,395,0.456
316,9.5e-07,316,9.5e-07,396,0.444
317,9.5e-07,317,9.5e-07,397,0.481
318,9.5e-07,318,9.5e-07,398,0.54
319,9.5e-07,319,9.5e-07,399,0.534
320,9.5e-07,320,9.5e-07,400,0.463
321,9.5e-07,321,9.5e-07,401,0.405
322,9.5e-07,322,9.5e-07,402,0.424
323,9.5e-07,323,9.5e-07,403,0.494
324,9.5e-07,324,9.5e-07,404,0.543
325,9.5e-07,325,9.5e-07,405,0.514
326,9.5e-07,326,9.5e-07,406,0.455
327,9.5e-07,327,9.5e-07,407,0.432
328,9.5e-07,328,9.5e-07,408,0.468
329,9.5e-07,329,9.5e-07,409,0.538
330,9.5e-07,330,9.5e-07,410,0.588
331,9.5e-07,331,9.5e-07,411,0.594
332,9.74e-07,332,9.5e-07,412,0.574
333,9.5e-07,333,9.5e-07,413,0.551
334,9.5e-07,334,9.5e-07,414,0.544
335,9.5e-07,335,9.5e-07,415,0.548
336,9.5e-07,336,9.5e-07,416,0.557
337,9.5e-07,337,9.5e-07,417,0.563
338,9.5e-07,338,9.5e-07,418,0.556
339,9.5e-07,339,9.5e-07,419,0.525
340,9.5e-07,340,9.5e-07,420,0.481
341,9.5e-07,341,9.5e-07,421,0.432
342,9.5e-07,342,9.5e-07,422,0.382
343,9.5e-07,343,9.5e-07,423,0.348
344,9.5e-07,344,9.5e-07,424,0.329
345,9.5e-07,345,9.5e-07,425,0.338
346,9.5e-07,346,9.5e-07,426,0.363
347,1.06e-06,347,9.5e-07,427,0.365
348,9.5e-07,348,9.5e-07,428,0.322
349,9.5e-07,349,9.5e-07,429,0.244
350,9.5e-07,350,9.5e-07,430,0.186
351,9.5e-07,351,9.5e-07,431,0.161
352,9.5e-07,352,9.5e-07,432,0.189
353,9.5e-07,353,9.5e-07,433,0.281
354,9.5e-07,354,9.5e-07,434,0.386
355,9.5e-07,355,9.5e-07,435,0.42
356,9.5e-07,356,9.5e-07,436,0.369
357,9.5e-07,357,9.5e-07,437,0.285
358,9.5e-07,358,9.5e-07,438,0.231
359,9.5e-07,359,9.5e-07,439,0.241
360,9.5e-07,360,9.5e-07,440,0.318
361,9.5e-07,361,9.5e-07,441,0.36
362,9.5e-07,362,9.5e-07,442,0.361
363,9.5e-07,363,9.5e-07,443,0.335
364,9.5e-07,364,9.5e-07,444,0.234
365,9.5e-07,365,9.5e-07,445,0.113
366,9.5e-07,366,9.5e-07,446,0.0412
367,9.5e-07,367,9.5e-07,447,0.0157
368,9.5e-07,368,9.5e-07,448,0.00641
369,9.5e-07,369,9.5e-07,449,0.00297
370,9.5e-07,370,9.5e-07,450,0.00191
371,9.5e-07,371,9.5e-07,451,0.00131
372,9.5e-07,372,9.5e-07,452,0.000916
373,9.5e-07,373,9.5e-07,453,0.000831
374,9.5e-07,374,9.5e-07,454,0.000768
375,9.5e-07,375,9.5e-07,455,0.000666
376,9.5e-07,376,9.5e-07,456,0.000908
377,1.67e-06,377,9.5e-07,457,0.00115
378,9.5e-07,378,9.5e-07,458,0.00188
379,9.5e-07,379,9.5e-07,459,0.00242
380,9.5e-07,380,9.5e-07,460,0.00441
381,9.5e-07,381,9.5e-07,461,0.00826
382,9.5e-07,382,9.5e-07,462,0.0166
383,9.5e-07,383,9.5e-07,463,0.0266
384,2.15e-06,384,9.5e-07,464,0.034
385,5.55e-06,385,9.5e-07,465,0.0371
386,9.5e-07,386,9.5e-07,466,0.0409
387,9.5e-07,387,9.5e-07,467,0.0528
388,9.5e-07,388,9.5e-07,468,0.0797
389,9.5e-07,389,9.5e-07,469,0.139
390,9.5e-07,390,9.5e-07,470,0.248
391,9.5e-07,391,9.5e-07,471,0.383
392,9.5e-07,392,9.5e-07,472,0.465
393,9.5e-07,393,9.5e-07,473,0.466
394,1.98e-06,394,9.5e-07,474,0.478
395,1.07e-06,395,9.5e-07,475,0.512
396,9.5e-07,396,9.5e-07,476,0.509
397,9.5e-07,397,9.5e-07,477,0.457
398,9.5e-07,398,9.5e-07,478,0.398
399,9.5e-07,399,9.5e-07,479,0.378
400,9.5e-07,400,9.5e-07,480,0.426
401,9.5e-07,401,9.5e-07,481,0.508
402,9.5e-07,402,9.5e-07,482,0.55
403,9.5e-07,403,9.5e-07,483,0.499
404,9.5e-07,404,9.5e-07,484,0.434
405,9.5e-07,405,9.5e-07,485,0.397
406,9.5e-07,406,9.5e-07,486,0.314
407,9.5e-07,407,9.5e-07,487,0.189
408,9.5e-07,408,9.5e-07,488,0.129
409,9.5e-07,409,9.5e-07,489,0.142
410,9.5e-07,410,9.5e-07,490,0.207
411,9.5e-07,411,9.5e-07,491,0.312
412,9.5e-07,412,9.5e-07,492,0.363
413,9.5e-07,413,9.5e-07,493,0.305
414,9.5e-07,414,9.5e-07,494,0.21
415,9.5e-07,415,9.5e-07,495,0.149
416,9.5e-07,416,9.5e-07,496,0.124
417,9.5e-07,417,9.5e-07,497,0.138
418,9.5e-07,418,9.5e-07,498,0.196
419,1.02e-06,419,9.5e-07,499,0.296
420,9.5e-07,420,9.5e-07,500,0.397
421,9.5e-07,421,9.5e-07,501,0.403
422,9.5e-07,422,9.5e-07,502,0.32
423,9.5e-07,423,9.5e-07,503,0.249
424,9.5e-07,424,9.5e-07,504,0.235
425,9.5e-07,425,9.5e-07,505,0.242
426,9.5e-07,426,9.5e-07,506,0.221
427,9.5e-07,427,9.5e-07,507,0.152
428,9.5e-07,428,9.5e-07,508,0.0842
429,9.5e-07,429,9.5e-07,509,0.041
430,9.5e-07,430,9.5e-07,510,0.0236
431,9.5e-07,431,9.5e-07,511,0.0169
432,1.17e-06,432,9.5e-07,512,0.0141
433,9.5e-07,433,9.5e-07,513,0.0137
434,9.5e-07,434,9.5e-07,514,0.0149
435,9.5e-07,435,9.5e-07,515,0.0165
436,9.5e-07,436,9.5e-07,516,0.0163
437,9.5e-07,437,9.5e-07,517,0.0133
438,9.5e-07,438,9.5e-07,518,0.00908
439,9.5e-07,439,9.5e-07,519,0.00553
440,9.5e-07,440,9.5e-07,520,0.00343
441,9.5e-07,441,9.5e-07,521,0.00233
442,9.5e-07,442,9.5e-07,522,0.00199
443,9.5e-07,443,9.5e-07,523,0.00174
444,1.89e-06,444,9.5e-07,524,0.00172
445,1.02e-06,445,9.5e-07,525,0.0019
446,9.5e-07,446,9.5e-07,526,0.00217
447,9.5e-07,447,9.5e-07,527,0.00274
448,9.5e-07,448,9.5e-07,528,0.00339
449,9.5e-07,449,9.5e-07,529,0.00316
450,9.5e-07,450,9.5e-07,530,0.00254
451,9.5e-07,451,9.5e-07,531,0.00168
452,9.5e-07,452,9.5e-07,532,0.00115
453,9.5e-07,453,9.5e-07,533,0.000745
454,9.5e-07,454,9.5e-07,534,0.000586
455,1.79e-06,455,9.5e-07,535,0.0005
456,9.5e-07,456,9.5e-07,536,0.000508
457,9.5e-07,457,9.5e-07,537,0.000508
458,9.5e-07,458,9.5e-07,538,0.00053
459,9.5e-07,459,9.5e-07,539,0.00059
460,9.5e-07,460,9.5e-07,540,0.000809
461,9.5e-07,461,9.5e-07,541,0.00116
462,9.5e-07,462,9.5e-07,542,0.00127
463,9.5e-07,463,9.5e-07,543,0.00128
464,9.5e-07,464,9.5e-07,544,0.00112
465,9.5e-07,465,9.5e-07,545,0.000834
466,9.5e-07,466,9.5e-07,546,0.000592
467,9.5e-07,467,9.5e-07,547,0.000404
468,9.5e-07,468,9.5e-07,548,0.000311
469,9.5e-07,469,9.5e-07,549,0.000273
